Roll 1,Roll 2,Total
2,6,8
5,1,6
6,3,9
6,6,12
2,4,6
3,6,9
4,6,10
3,3,6
2,3,5
1,2,3
4,4,8
4,4,8
6,2,8
6,4,10
4,5,9
2,6,8
3,4,7
4,4,8
6,6,12
5,4,9
2,3,5
3,6,9
3,4,7
5,4,9
4,4,8
2,5,7
5,3,8
5,1,6
5,4,9
3,1,4
6,2,8
6,4,10
6,5,11
4,3,7
6,2,8
4,5,9
6,1,7
2,4,6
3,2,5
1,3,4
5,5,10
3,4,7
2,5,7
3,2,5
2,4,6
5,5,10
1,3,4
3,3,6
1,5,6
4,1,5
3,5,8
3,3,6
6,1,7
2,2,4
5,5,10
3,3,6
3,5,8
5,5,10
4,1,5
3,4,7
4,2,6
4,4,8
6,6,12
4,6,10
2,4,6
3,3,6
2,5,7
3,1,4
3,4,7
6,4,10
3,3,6
1,2,3
6,2,8
3,4,7
1,4,5
2,1,3
6,2,8
3,5,8
1,6,7
2,4,6
3,3,6
2,1,3
4,3,7
2,1,3
6,5,11
4,1,5
4,3,7
3,3,6
6,2,8
4,4,8
3,5,8
3,5,8
6,6,12
3,2,5
2,3,5
1,4,5
3,3,6
4,5,9
5,1,6
1,5,6
